dataset,neuron,mean,cov,mean_std,cov_std,mean_0,mean_1,mean_2,mean_3,mean_4,cov_0,cov_1,cov_2,cov_3,cov_4,jitter_0,jitter_1,jitter_2,jitter_3,jitter_4,jitter,single_trial_correlation,cell_id
Dataset 05,610,[-0.41 -0.64],"[[-0.01 -0.07]
 [ 0.02  0.03]]",[0.71 0.48],"[[0.05 0.06]
 [0.04 0.04]]",[-1. -1.],[-0.97 -0.94],[-1.   -0.95],[ 0.59 -0.58],[0.32 0.28],"[[ 0.03 -0.06]
 [ 0.   -0.03]]","[[-0.11 -0.05]
 [ 0.08  0.08]]","[[ 0.02 -0.19]
 [ 0.04  0.04]]","[[ 0.02 -0.06]
 [-0.03  0.07]]","[[ 0.01 -0.01]
 [-0.   -0.  ]]",[ 0.05 -0.01],[-0.05  0.05],[-0.05 -0.  ],[ 0.03 -0.05],[ 0.05 -0.05],[0.05 0.04],0.095536776,LPE10885_2023_10_20_1_0259
Dataset 05,611,[-0.42 -0.64],"[[ 0.06 -0.02]
 [ 0.01  0.02]]",[0.71 0.48],"[[0.09 0.03]
 [0.11 0.04]]",[-1. -1.],[-0.97 -0.95],[-1.   -0.95],[ 0.58 -0.58],[0.32 0.28],"[[ 0.04  0.02]
 [-0.03  0.01]]","[[-0.05 -0.04]
 [-0.11  0.07]]","[[ 0.09 -0.06]
 [-0.03 -0.  ]]","[[ 0.22 -0.02]
 [ 0.22  0.07]]","[[-0.   -0.  ]
 [-0.02 -0.03]]",[ 0.05 -0.04],[-0.05 -0.05],[-0.05 -0.05],[ 0.02 -0.05],[ 0.05 -0.05],[0.05 0.01],0.4100196,LPE10885_2023_10_20_1_0261
Dataset 05,612,[-0.42 -0.64],"[[ 0.07  0.1 ]
 [-0.05  0.01]]",[0.71 0.49],"[[0.07 0.11]
 [0.05 0.07]]",[-1. -1.],[-0.98 -0.95],[-1.   -0.96],[ 0.57 -0.57],[0.32 0.28],"[[ 0.08  0.01]
 [-0.02 -0.02]]","[[-0.01  0.05]
 [-0.14  0.11]]","[[ 0.17  0.23]
 [-0.02 -0.06]]","[[ 0.11  0.24]
 [-0.05  0.08]]","[[-0.01 -0.02]
 [-0.02 -0.07]]",[ 0.05 -0.05],[-0.05  0.05],[-0.03 -0.05],[ 0.04 -0.05],[-0.05  0.04],[0.04 0.05],0.05123816,LPE10885_2023_10_20_1_0262
Dataset 05,613,[-0.49 -0.66],"[[-0.04 -0.02]
 [-0.    0.02]]",[0.66 0.49],"[[0.14 0.04]
 [0.1  0.03]]",[-1. -1.],[-0.99 -0.98],[-1.   -0.99],[ 0.62 -0.6 ],[-0.09  0.27],"[[-0.05  0.03]
 [ 0.01 -0.  ]]","[[-0.23 -0.05]
 [ 0.18 -0.01]]","[[ 0.2   0.01]
 [-0.1   0.01]]","[[-0.08 -0.07]
 [-0.08  0.08]]","[[-0.01 -0.02]
 [-0.01  0.04]]",[-0.05 -0.  ],[-0.05 -0.05],[-0.05 -0.05],[ 0.05 -0.05],[-0.05 -0.03],[0.04 0.02],0.045178756,LPE10885_2023_10_20_1_0263
Dataset 05,614,[-0.42 -0.67],"[[ 0.02  0.01]
 [ 0.06 -0.03]]",[0.72 0.48],"[[0.05 0.01]
 [0.06 0.05]]",[-1. -1.],[-0.98 -0.96],[-1. -1.],[ 0.67 -0.63],[0.2  0.25],"[[-0.01  0.01]
 [ 0.    0.  ]]","[[ 0.03 -0.  ]
 [ 0.14  0.04]]","[[ 0.1   0.01]
 [ 0.01 -0.11]]","[[-0.05  0.02]
 [ 0.13 -0.07]]","[[ 0.02 -0.01]
 [ 0.   -0.  ]]",[-0.04  0.03],[-0.05  0.02],[-0.02 -0.05],[-0.01 -0.01],[-0.05 -0.05],[0.02 0.03],0.29141724,LPE10885_2023_10_20_1_0264
Dataset 05,615,[-0.44 -0.65],"[[ 0.   -0.04]
 [ 0.03 -0.05]]",[0.69 0.48],"[[0.1  0.11]
 [0.04 0.04]]",[-1. -1.],[-0.98 -0.96],[-1.   -0.97],[ 0.6  -0.59],[0.18 0.25],"[[-0.01  0.  ]
 [-0.   -0.03]]","[[-0.17  0.04]
 [ 0.01 -0.11]]","[[ 0.09 -0.01]
 [-0.01 -0.06]]","[[ 0.11 -0.27]
 [ 0.1  -0.06]]","[[-0.02  0.02]
 [ 0.04  0.02]]",[-0.05 -0.05],[-0.02 -0.05],[-0.05 -0.05],[ 0.01 -0.05],[-0.05  0.05],[0.02 0.04],0.11995859,LPE10885_2023_10_20_1_0265
Dataset 05,616,[-0.43 -0.64],"[[0.07 0.01]
 [0.08 0.04]]",[0.7  0.49],"[[0.19 0.03]
 [0.21 0.06]]",[-1. -1.],[-0.98 -0.96],[-1.   -0.97],[ 0.54 -0.56],[0.31 0.28],"[[0.41 0.05]
 [0.5  0.16]]","[[ 0.04 -0.01]
 [ 0.01  0.01]]","[[-0.17  0.04]
 [-0.11  0.04]]","[[ 0.06 -0.03]
 [-0.   -0.01]]","[[-0.   -0.01]
 [ 0.01  0.02]]",[ 0.05 -0.05],[ 0.05 -0.01],[-0.05 -0.05],[ 0.05 -0.05],[-0.05  0.01],[0.05 0.03],0.20060976,LPE10885_2023_10_20_1_0266
Dataset 05,617,[-0.48 -0.66],"[[-0.04 -0.04]
 [ 0.    0.01]]",[0.66 0.48],"[[0.1  0.05]
 [0.05 0.03]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.98],[ 0.6  -0.59],[-0.01  0.26],"[[ 0.02 -0.01]
 [-0.05  0.01]]","[[ 0.09 -0.02]
 [ 0.02  0.04]]","[[-0.21 -0.14]
 [-0.07  0.05]]","[[-0.07 -0.01]
 [ 0.08 -0.01]]","[[-0.03 -0.03]
 [ 0.01 -0.02]]",[-0.05  0.05],[-0.05 -0.05],[-0.05 -0.05],[ 0.05 -0.05],[-0.05 -0.  ],[0.04 0.04],0.103234366,LPE10885_2023_10_20_1_0267
Dataset 05,618,[-0.42 -0.64],"[[ 0.01 -0.04]
 [ 0.   -0.  ]]",[0.71 0.48],"[[0.07 0.09]
 [0.05 0.03]]",[-1. -1.],[-0.98 -0.95],[-1.   -0.95],[ 0.56 -0.57],[0.32 0.28],"[[-0.02 -0.02]
 [-0.03 -0.04]]","[[-0.08 -0.2 ]
 [ 0.09  0.03]]","[[ 0.12  0.08]
 [-0.03  0.02]]","[[ 0.02 -0.08]
 [ 0.03 -0.02]]","[[ 0.03  0.  ]
 [-0.05  0.  ]]",[ 0.05 -0.05],[-0.05  0.04],[-0.05 -0.03],[-0.05 -0.05],[0.05 0.02],[0.05 0.04],0.14926249,LPE10885_2023_10_20_1_0268
Dataset 05,619,[-0.46 -0.64],"[[0.05 0.06]
 [0.05 0.04]]",[0.67 0.5 ],"[[0.07 0.07]
 [0.06 0.05]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.98],[ 0.54 -0.56],[0.14 0.3 ],"[[ 0.01 -0.01]
 [ 0.01  0.  ]]","[[-0.01  0.09]
 [ 0.    0.06]]","[[0.07 0.04]
 [0.17 0.12]]","[[0.17 0.18]
 [0.09 0.04]]","[[-0.    0.01]
 [ 0.01 -0.  ]]",[-0.05 -0.04],[0.05 0.05],[-0.05 -0.05],[-0.05 -0.05],[0.05 0.  ],[0.05 0.04],0.2888249,LPE10885_2023_10_20_1_0269
