dataset,neuron,mean,cov,mean_std,cov_std,mean_0,mean_1,mean_2,mean_3,mean_4,cov_0,cov_1,cov_2,cov_3,cov_4,jitter_0,loc_0,jitter_1,loc_1,jitter_2,loc_2,jitter_3,loc_3,jitter_4,loc_4,jitter,loc,jitter_std,loc_std,single_trial_correlation,cell_id
Dataset 05,1100,[-0.13  0.65],"[[-0.05 -0.09]
 [-0.03 -0.05]]",[0.71 0.28],"[[0.06 0.09]
 [0.06 0.08]]",[-0.99  0.93],[-0.47  0.5 ],[1. 1.],[0.35 0.58],[-0.56  0.23],"[[-0.14 -0.25]
 [ 0.01 -0.2 ]]","[[ 0.01 -0.05]
 [ 0.01 -0.03]]","[[ 0.   -0.  ]
 [-0.01  0.  ]]","[[-0.1  -0.15]
 [-0.15 -0.03]]","[[-0.01  0.  ]
 [-0.01 -0.  ]]",[-0.03  0.05],[-1.02  0.98],[0.05 0.01],[-0.42  0.51],[0.04 0.03],[1.04 1.03],[-0.01  0.05],[0.34 0.62],[0.03 0.04],[-0.53  0.27],[0.01 0.04],[-0.12  0.68],[0.03 0.01],[0.72 0.29],0.6723352,LPE10885_2023_10_20_5_0301
Dataset 05,1101,[-0.15  0.61],"[[-0.07  0.03]
 [-0.08  0.01]]",[0.72 0.36],"[[0.09 0.09]
 [0.13 0.05]]",[-0.98  0.92],[-0.49  0.53],[1. 1.],[0.35 0.59],[-0.65 -0.01],"[[-0.12  0.07]
 [-0.3  -0.06]]","[[-0.24  0.18]
 [-0.15  0.07]]","[[ 0.   -0.01]
 [ 0.   -0.  ]]","[[-0.01 -0.08]
 [ 0.04  0.06]]","[[ 0.01 -0.01]
 [-0.   -0.  ]]",[-0.03  0.05],[-1.01  0.97],[ 0.02 -0.05],[-0.46  0.49],[-0.02 -0.05],[0.98 0.95],[0.01 0.05],[0.36 0.64],[-0.01  0.05],[-0.67  0.04],[-0.01  0.01],[-0.16  0.62],[0.02 0.05],[0.73 0.34],0.62599665,LPE10885_2023_10_20_5_0302
Dataset 05,1102,[-0.14  0.59],"[[-0.03  0.05]
 [ 0.02  0.01]]",[0.71 0.32],"[[0.04 0.08]
 [0.04 0.07]]",[-0.91  0.81],[-0.47  0.51],[1. 1.],[0.34 0.55],[-0.67  0.06],"[[-0.1  -0.05]
 [-0.04 -0.06]]","[[-0.03  0.15]
 [ 0.05  0.15]]","[[ 0.01  0.01]
 [-0.   -0.  ]]","[[-0.04  0.12]
 [ 0.08 -0.05]]","[[ 0.    0.  ]
 [-0.   -0.01]]",[-0.05  0.01],[-0.96  0.83],[-0.05  0.04],[-0.52  0.55],[-0.05 -0.02],[0.95 0.98],[-0.02  0.05],[0.32 0.6 ],[-0.04 -0.05],[-0.71  0.02],[-0.04  0.01],[-0.19  0.59],[0.01 0.04],[0.71 0.33],0.17671865,LPE10885_2023_10_20_5_0303
Dataset 05,1103,[-0.16  0.63],"[[-0.01 -0.07]
 [-0.01  0.02]]",[0.73 0.3 ],"[[0.04 0.06]
 [0.03 0.06]]",[-0.97  0.91],[-0.47  0.5 ],[1. 1.],[0.35 0.58],[-0.7   0.16],"[[ 0.03 -0.05]
 [-0.03 -0.07]]","[[-0.08 -0.14]
 [-0.05  0.09]]","[[-0.   -0.01]
 [ 0.   -0.  ]]","[[-0.01 -0.15]
 [ 0.03  0.08]]","[[-0.   -0.01]
 [ 0.    0.  ]]",[-0.05  0.02],[-1.03  0.93],[-0.02  0.03],[-0.5   0.54],[-0.02 -0.03],[0.98 0.97],[0.05 0.05],[0.4  0.63],[-0.01 -0.05],[-0.7   0.11],[-0.01  0.  ],[-0.17  0.64],[0.03 0.04],[0.74 0.31],0.37584925,LPE10885_2023_10_20_5_0304
Dataset 05,1104,[-0.16  0.59],"[[ 0.01 -0.09]
 [ 0.03 -0.01]]",[0.73 0.35],"[[0.06 0.08]
 [0.12 0.08]]",[-0.94  0.86],[-0.48  0.53],[1. 1.],[0.35 0.58],[-0.73 -0.01],"[[-0.08 -0.21]
 [ 0.22 -0.16]]","[[ 0.09 -0.12]
 [ 0.07  0.01]]","[[ 0. -0.]
 [-0.  0.]]","[[ 0.04 -0.13]
 [-0.16  0.1 ]]","[[0.   0.01]
 [0.   0.  ]]",[-0.04  0.05],[-0.99  0.91],[-0.05  0.05],[-0.53  0.58],[-0.01 -0.04],[0.99 0.96],[0.02 0.05],[0.37 0.63],[0.03 0.05],[-0.7   0.05],[-0.01  0.03],[-0.17  0.62],[0.03 0.04],[0.74 0.32],0.7143915,LPE10885_2023_10_20_5_0305
Dataset 05,1105,[-0.21  0.59],"[[-0.05 -0.07]
 [ 0.    0.02]]",[0.77 0.38],"[[0.07 0.18]
 [0.09 0.1 ]]",[-0.96  0.89],[-0.5   0.56],[1. 1.],[0.36 0.61],[-0.92 -0.1 ],"[[-0.16  0.13]
 [-0.15  0.15]]","[[ 0.01 -0.4 ]
 [ 0.01 -0.14]]","[[-0.   -0.  ]
 [ 0.05  0.03]]","[[-0.08 -0.1 ]
 [ 0.11  0.06]]","[[-0.    0.01]
 [-0.    0.  ]]",[-0.05  0.05],[-1.01  0.94],[-0.02  0.01],[-0.52  0.57],[ 0.05 -0.05],[1.05 0.95],[-0.02  0.02],[0.34 0.62],[-0.05  0.05],[-0.98 -0.05],[-0.02  0.02],[-0.22  0.61],[0.04 0.04],[0.8  0.36],0.29036433,LPE10885_2023_10_20_5_0306
Dataset 05,1106,[-0.13  0.61],"[[ 0.02 -0.01]
 [-0.01 -0.03]]",[0.7 0.3],"[[0.06 0.03]
 [0.07 0.07]]",[-0.94  0.85],[-0.47  0.49],[1. 1.],[0.34 0.56],[-0.58  0.14],"[[ 0.03 -0.07]
 [-0.09  0.06]]","[[-0.07 -0.01]
 [ 0.11 -0.14]]","[[ 0.01 -0.01]
 [-0.01 -0.01]]","[[ 0.11  0.01]
 [-0.09 -0.06]]","[[ 0.   -0.01]
 [ 0.    0.  ]]",[-0.03  0.05],[-0.97  0.9 ],[-0.03  0.02],[-0.5   0.51],[ 0.04 -0.03],[1.04 0.97],[0.05 0.05],[0.39 0.61],[0.05 0.  ],[-0.53  0.14],[0.02 0.02],[-0.11  0.63],[0.04 0.03],[0.73 0.3 ],0.18657568,LPE10885_2023_10_20_5_0307
Dataset 05,1107,[-0.22  0.63],"[[ 0.06 -0.04]
 [ 0.01  0.02]]",[0.78 0.31],"[[0.06 0.08]
 [0.1  0.05]]",[-0.94  0.86],[-0.5   0.57],[1. 1.],[0.36 0.63],[-1.    0.08],"[[ 0.11  0.07]
 [ 0.19 -0.01]]","[[ 0.1  -0.17]
 [-0.09  0.11]]","[[-0.04  0.  ]
 [-0.01  0.01]]","[[ 0.12 -0.09]
 [-0.04 -0.01]]","[[-0.   -0.01]
 [ 0.01 -0.01]]",[-0.05  0.05],[-0.99  0.91],[ 0.05 -0.01],[-0.45  0.55],[-0.05 -0.01],[0.95 0.99],[0.05 0.05],[0.41 0.68],[-0.05  0.01],[-1.05  0.09],[-0.01  0.02],[-0.23  0.64],[0.05 0.03],[0.79 0.32],0.34646258,LPE10885_2023_10_20_5_0308
Dataset 05,1108,[-0.12  0.71],"[[ 0.03 -0.09]
 [-0.01  0.05]]",[0.71 0.25],"[[0.03 0.12]
 [0.03 0.06]]",[-1.    0.99],[-0.51  0.58],[1. 1.],[0.35 0.6 ],[-0.42  0.37],"[[ 0.08 -0.07]
 [-0.02 -0.01]]","[[ 0.   -0.32]
 [ 0.03  0.16]]","[[ 0.   -0.01]
 [ 0.    0.  ]]","[[ 0.05 -0.03]
 [-0.07  0.07]]","[[0.   0.  ]
 [0.   0.01]]",[ 0.05 -0.05],[-0.95  0.94],[ 0.04 -0.05],[-0.47  0.53],[0.05 0.05],[1.05 1.05],[0.05 0.04],[0.4  0.64],[0.03 0.02],[-0.39  0.39],[0.05 0.  ],[-0.07  0.71],[0.01 0.04],[0.71 0.25],0.61207026,LPE10885_2023_10_20_5_0309
Dataset 05,1109,[-0.1   0.67],"[[-0.02 -0.01]
 [-0.02  0.04]]",[0.7  0.27],"[[0.05 0.05]
 [0.05 0.04]]",[-0.99  0.96],[-0.48  0.53],[1. 1.],[0.34 0.57],[-0.37  0.28],"[[-0.08  0.02]
 [-0.11  0.09]]","[[-0.07  0.04]
 [ 0.06  0.  ]]","[[ 0.    0.01]
 [-0.01  0.  ]]","[[ 0.06 -0.12]
 [-0.03  0.1 ]]","[[-0.   -0.  ]
 [ 0.01 -0.  ]]",[-0.04  0.05],[-1.03  1.01],[-0.04 -0.03],[-0.53  0.5 ],[ 0.05 -0.01],[1.05 0.99],[0.04 0.05],[0.38 0.62],[ 0.04 -0.  ],[-0.33  0.28],[0.01 0.01],[-0.09  0.68],[0.04 0.03],[0.73 0.28],0.73197615,LPE10885_2023_10_20_5_0310
