dataset,neuron,mean,cov,mean_std,cov_std,mean_0,mean_1,mean_2,mean_3,mean_4,cov_0,cov_1,cov_2,cov_3,cov_4,jitter_0,loc_0,jitter_1,loc_1,jitter_2,loc_2,jitter_3,loc_3,jitter_4,loc_4,jitter,loc,jitter_std,loc_std,single_trial_correlation,cell_id
Dataset 05,0,[-0.18  0.57],"[[ 0.    0.03]
 [-0.03  0.02]]",[0.74 0.35],"[[0.02 0.06]
 [0.03 0.04]]",[-0.9  0.8],[-0.49  0.54],[1. 1.],[0.35 0.57],[-0.86 -0.04],"[[-0.03  0.06]
 [-0.04  0.  ]]","[[ 0.03  0.13]
 [-0.07  0.1 ]]","[[ 0.01 -0.02]
 [ 0.02 -0.02]]","[[-0.01 -0.03]
 [-0.05  0.  ]]","[[ 0.02  0.01]
 [ 0.   -0.01]]",[ 0.01 -0.04],[-0.89  0.75],[-0.02 -0.02],[-0.51  0.51],[-0.05 -0.05],[0.95 0.95],[-0.05 -0.05],[0.3  0.52],[-0.02 -0.03],[-0.88 -0.07],[-0.03 -0.04],[-0.21  0.53],[0.02 0.01],[0.72 0.34],0.555741,LPE10885_2023_10_20_4_0000
Dataset 05,1,[-0.19  0.56],"[[ 0.    0.02]
 [-0.01  0.03]]",[0.76 0.35],"[[0.04 0.05]
 [0.04 0.02]]",[-0.87  0.77],[-0.49  0.54],[1. 1.],[0.35 0.57],[-0.96 -0.05],"[[0.04 0.03]
 [0.02 0.05]]","[[-0.07  0.11]
 [-0.1   0.07]]","[[-0.01 -0.01]
 [-0.    0.02]]","[[ 0.05 -0.04]
 [ 0.02  0.03]]","[[-0.   -0.  ]
 [-0.    0.01]]",[-0.05  0.03],[-0.92  0.8 ],[-0.04 -0.01],[-0.53  0.53],[-0.05 -0.05],[0.95 0.95],[-0.05 -0.05],[0.3  0.52],[0.03 0.05],[-0.93 -0.  ],[-0.03 -0.01],[-0.23  0.56],[0.03 0.04],[0.74 0.32],0.36664617,LPE10885_2023_10_20_4_0001
Dataset 05,2,[-0.13  0.7 ],"[[ 0.01  0.04]
 [ 0.02 -0.02]]",[0.71 0.25],"[[0.04 0.04]
 [0.05 0.04]]",[-1.    0.99],[-0.5   0.56],[1. 1.],[0.35 0.6 ],[-0.48  0.37],"[[ 0.    0.1 ]
 [ 0.05 -0.  ]]","[[-0.04  0.03]
 [ 0.1   0.  ]]","[[-0.    0.01]
 [ 0.01  0.  ]]","[[ 0.07  0.09]
 [-0.06 -0.09]]","[[-0. -0.]
 [-0.  0.]]",[0.02 0.01],[-0.98  1.  ],[-0.02  0.02],[-0.52  0.58],[-0.01  0.05],[0.99 1.05],[0.02 0.05],[0.38 0.65],[0.01 0.03],[-0.47  0.39],[0.   0.03],[-0.12  0.74],[0.02 0.02],[0.71 0.25],0.47952232,LPE10885_2023_10_20_4_0002
Dataset 05,3,[-0.21  0.58],"[[-0.02 -0.04]
 [ 0.   -0.01]]",[0.77 0.36],"[[0.03 0.04]
 [0.03 0.06]]",[-0.91  0.82],[-0.5   0.55],[1. 1.],[0.35 0.58],[-0.98 -0.06],"[[ 0.02 -0.11]
 [ 0.04  0.05]]","[[-0.06 -0.05]
 [-0.05 -0.12]]","[[-0.01  0.01]
 [ 0.    0.  ]]","[[-0.04 -0.03]
 [ 0.02  0.01]]","[[-0.   -0.  ]
 [-0.01 -0.01]]",[0.02 0.02],[-0.89  0.84],[-0.01 -0.02],[-0.5   0.53],[-0.05 -0.05],[0.95 0.95],[-0.02 -0.04],[0.33 0.55],[0.05 0.03],[-0.92 -0.03],[-0.   -0.01],[-0.21  0.57],[0.03 0.03],[0.74 0.34],0.5331556,LPE10885_2023_10_20_4_0003
Dataset 05,4,[-0.12  0.67],"[[ 0.01 -0.02]
 [ 0.05 -0.09]]",[0.7  0.28],"[[0.11 0.05]
 [0.06 0.1 ]]",[-0.99  0.96],[-0.48  0.52],[1. 1.],[0.35 0.58],[-0.46  0.27],"[[ 0.22 -0.02]
 [ 0.08 -0.11]]","[[-0.03 -0.12]
 [ 0.02 -0.26]]","[[0. 0.]
 [0. 0.]]","[[-0.13  0.02]
 [ 0.15 -0.09]]","[[ 0.   -0.  ]
 [ 0.01 -0.  ]]",[-0.05  0.05],[-1.05  1.01],[-0.05  0.05],[-0.53  0.57],[0.05 0.05],[1.05 1.05],[0.05 0.05],[0.4  0.63],[0.02 0.01],[-0.44  0.29],[0.   0.04],[-0.11  0.71],[0.05 0.01],[0.74 0.29],0.6544387,LPE10885_2023_10_20_4_0004
Dataset 05,5,[-0.14  0.6 ],"[[ 0.02  0.05]
 [-0.    0.05]]",[0.72 0.34],"[[0.06 0.08]
 [0.02 0.06]]",[-0.97  0.9 ],[-0.48  0.52],[1. 1.],[0.35 0.58],[-0.61  0.02],"[[0.08 0.04]
 [0.   0.08]]","[[ 0.08  0.2 ]
 [-0.03  0.17]]","[[-0.    0.  ]
 [ 0.02 -0.01]]","[[-0.07  0.03]
 [ 0.01  0.02]]","[[-0.    0.  ]
 [-0.01 -0.  ]]",[0.05 0.05],[-0.92  0.95],[0.01 0.04],[-0.47  0.56],[-0.01 -0.05],[0.99 0.95],[-0.03 -0.01],[0.31 0.57],[0.04 0.05],[-0.57  0.08],[0.01 0.02],[-0.13  0.62],[0.03 0.04],[0.69 0.32],0.57593644,LPE10885_2023_10_20_4_0005
Dataset 05,6,[-0.1   0.62],"[[ 0.01 -0.03]
 [-0.    0.01]]",[0.69 0.31],"[[0.04 0.03]
 [0.04 0.04]]",[-0.98  0.92],[-0.48  0.52],[1. 1.],[0.34 0.55],[-0.39  0.12],"[[ 0.1  -0.03]
 [ 0.07  0.02]]","[[-0.04 -0.07]
 [-0.05  0.08]]","[[0.01 0.  ]
 [0.   0.02]]","[[ 0.01 -0.07]
 [-0.03 -0.05]]","[[-0.    0.  ]
 [-0.01  0.  ]]",[ 0.05 -0.04],[-0.93  0.87],[0.05 0.  ],[-0.43  0.52],[ 0.05 -0.05],[1.05 0.95],[-0.03 -0.03],[0.3  0.53],[-0.01 -0.03],[-0.4  0.1],[ 0.02 -0.03],[-0.08  0.59],[0.04 0.02],[0.69 0.3 ],0.5918269,LPE10885_2023_10_20_4_0006
Dataset 05,7,[-0.19  0.66],"[[-0.01  0.01]
 [ 0.01  0.01]]",[0.75 0.3 ],"[[0.07 0.02]
 [0.03 0.01]]",[-0.99  0.94],[-0.49  0.54],[1. 1.],[0.35 0.61],[-0.81  0.18],"[[-0.04 -0.02]
 [ 0.07  0.02]]","[[-0.1   0.03]
 [ 0.01  0.04]]","[[-0.   -0.  ]
 [ 0.01 -0.  ]]","[[ 0.11  0.05]
 [-0.03  0.01]]","[[ 0.    0.  ]
 [-0.01  0.  ]]",[0.05 0.01],[-0.94  0.96],[-0.05 -0.03],[-0.54  0.51],[-0.05 -0.  ],[0.95 1.  ],[-0.05 -0.  ],[0.31 0.61],[-0.05  0.01],[-0.86  0.19],[-0.03 -0.  ],[-0.22  0.65],[0.04 0.01],[0.73 0.3 ],0.5928576,LPE10885_2023_10_20_4_0007
Dataset 05,8,[-0.2   0.59],"[[-0.02 -0.01]
 [-0.   -0.02]]",[0.76 0.31],"[[0.03 0.03]
 [0.06 0.03]]",[-0.88  0.78],[-0.49  0.54],[1. 1.],[0.35 0.59],[-0.99  0.05],"[[-0.06  0.01]
 [-0.1  -0.06]]","[[0.01 0.  ]
 [0.06 0.01]]","[[-0.   -0.01]
 [ 0.03  0.02]]","[[-0.05 -0.06]
 [-0.01 -0.07]]","[[-0.   -0.  ]
 [ 0.01 -0.01]]",[0.05 0.05],[-0.83  0.83],[-0.02  0.05],[-0.51  0.59],[-0.03 -0.05],[0.97 0.95],[-0.05 -0.02],[0.3  0.57],[ 0.03 -0.02],[-0.96  0.03],[-0.  0.],[-0.21  0.59],[0.04 0.04],[0.73 0.32],0.5216637,LPE10885_2023_10_20_4_0008
Dataset 05,9,[-0.18  0.61],"[[ 0.01 -0.07]
 [ 0.   -0.06]]",[0.75 0.31],"[[0.06 0.1 ]
 [0.02 0.08]]",[-0.94  0.86],[-0.48  0.52],[1. 1.],[0.35 0.59],[-0.84  0.09],"[[ 0.01 -0.14]
 [-0.02  0.  ]]","[[-0.07 -0.22]
 [ 0.02 -0.2 ]]","[[-0.   -0.01]
 [-0.01  0.  ]]","[[ 0.11  0.04]
 [ 0.02 -0.08]]","[[ 0.01 -0.  ]
 [ 0.01 -0.01]]",[-0.05  0.02],[-1.    0.87],[-0.05 -0.01],[-0.53  0.52],[-0.05  0.02],[0.95 1.02],[-0.   -0.01],[0.35 0.57],[-0.04  0.05],[-0.87  0.14],[-0.04  0.01],[-0.22  0.62],[0.02 0.02],[0.75 0.31],0.5464284,LPE10885_2023_10_20_4_0009
Dataset 05,10,[-0.22  0.62],"[[-0.01 -0.  ]
 [-0.02  0.01]]",[0.78 0.31],"[[0.02 0.05]
 [0.02 0.08]]",[-0.93  0.84],[-0.5   0.57],[1. 1.],[0.36 0.63],[-1.    0.08],"[[ 0.02  0.01]
 [-0.02 -0.1 ]]","[[-0.    0.08]
 [-0.02  0.16]]","[[-0.    0.01]
 [-0.   -0.02]]","[[-0.05 -0.09]
 [-0.04 -0.01]]","[[ 0.01 -0.01]
 [ 0.01  0.01]]",[-0.05  0.01],[-0.99  0.86],[-0.05  0.05],[-0.56  0.62],[-0.05 -0.01],[0.95 0.99],[0.04 0.02],[0.4  0.65],[-0.05  0.02],[-1.05  0.1 ],[-0.03  0.02],[-0.25  0.64],[0.04 0.02],[0.79 0.3 ],0.5383907,LPE10885_2023_10_20_4_0010
Dataset 05,11,[-0.17  0.59],"[[-0.02 -0.02]
 [ 0.04  0.03]]",[0.73 0.36],"[[0.05 0.14]
 [0.07 0.08]]",[-0.95  0.88],[-0.49  0.53],[1. 1.],[0.35 0.58],[-0.74 -0.03],"[[-0.03 -0.17]
 [-0.01 -0.06]]","[[0.04 0.21]
 [0.04 0.03]]","[[ 0.01 -0.  ]
 [-0.01  0.  ]]","[[-0.12 -0.14]
 [ 0.17  0.18]]","[[-0.01  0.  ]
 [ 0.01 -0.01]]",[-0.02 -0.05],[-0.97  0.82],[-0.04 -0.  ],[-0.53  0.53],[-0.05 -0.02],[0.95 0.98],[0.05 0.05],[0.4  0.64],[0.04 0.05],[-0.69  0.03],[-0.    0.01],[-0.17  0.6 ],[0.04 0.04],[0.72 0.33],0.6088849,LPE10885_2023_10_20_4_0011
Dataset 05,12,[-0.12  0.61],"[[ 0.   -0.01]
 [ 0.02  0.01]]",[0.7  0.31],"[[0.01 0.03]
 [0.03 0.02]]",[-0.95  0.87],[-0.47  0.5 ],[1. 1.],[0.34 0.56],[-0.53  0.1 ],"[[-0.    0.02]
 [ 0.08  0.  ]]","[[0.02 0.  ]
 [0.01 0.03]]","[[-0.   -0.01]
 [ 0.01  0.  ]]","[[-0.02 -0.07]
 [ 0.    0.04]]","[[ 0.01 -0.  ]
 [-0.   -0.01]]",[ 0.05 -0.01],[-0.9   0.86],[-0.    0.01],[-0.47  0.51],[0.02 0.02],[1.02 1.02],[0.01 0.04],[0.35 0.6 ],[-0.    0.04],[-0.54  0.14],[0.01 0.02],[-0.11  0.63],[0.02 0.02],[0.7 0.3],0.17669855,LPE10885_2023_10_20_4_0012
Dataset 05,13,[-0.12  0.61],"[[ 0.02 -0.02]
 [ 0.03  0.05]]",[0.7  0.32],"[[0.07 0.05]
 [0.1  0.05]]",[-0.96  0.88],[-0.47  0.51],[1. 1.],[0.34 0.56],[-0.49  0.1 ],"[[-0.08 -0.09]
 [-0.03  0.07]]","[[0.14 0.06]
 [0.22 0.03]]","[[ 0.   -0.01]
 [ 0.01 -0.  ]]","[[ 0.02 -0.07]
 [-0.06  0.13]]","[[0.   0.  ]
 [0.   0.01]]",[ 0.05 -0.04],[-0.91  0.84],[-0.05  0.05],[-0.53  0.55],[ 0.02 -0.02],[1.02 0.98],[0.05 0.03],[0.39 0.58],[-0.03  0.02],[-0.52  0.12],[0.01 0.01],[-0.11  0.62],[0.04 0.03],[0.71 0.3 ],0.59942,LPE10885_2023_10_20_4_0013
Dataset 05,14,[-0.1   0.62],"[[ 0.02  0.  ]
 [ 0.02 -0.02]]",[0.69 0.32],"[[0.05 0.05]
 [0.03 0.05]]",[-0.98  0.92],[-0.48  0.52],[1. 1.],[0.34 0.56],[-0.4   0.11],"[[ 0.09 -0.02]
 [-0.02 -0.08]]","[[0.06 0.09]
 [0.03 0.03]]","[[0.   0.  ]
 [0.02 0.  ]]","[[-0.05 -0.06]
 [ 0.07 -0.07]]","[[ 0.   -0.  ]
 [-0.    0.01]]",[-0.05  0.  ],[-1.03  0.92],[-0.02 -0.03],[-0.51  0.5 ],[ 0.05 -0.05],[1.05 0.95],[0.   0.04],[0.34 0.6 ],[-0.04 -0.01],[-0.44  0.1 ],[-0.01 -0.01],[-0.12  0.61],[0.04 0.03],[0.73 0.31],0.56992614,LPE10885_2023_10_20_4_0014
Dataset 05,15,[-0.12  0.71],"[[ 0.03  0.01]
 [-0.   -0.01]]",[0.71 0.25],"[[0.03 0.02]
 [0.1  0.05]]",[-1.    0.99],[-0.51  0.57],[1. 1.],[0.35 0.61],[-0.45  0.38],"[[ 0.05  0.01]
 [ 0.18 -0.03]]","[[ 0.02  0.05]
 [-0.08  0.07]]","[[-0. -0.]
 [ 0.  0.]]","[[ 0.06  0.02]
 [-0.11 -0.07]]","[[ 0.  0.]
 [ 0. -0.]]",[-0.02  0.03],[-1.02  1.03],[-0.04  0.  ],[-0.55  0.57],[0.05 0.05],[1.05 1.05],[0.05 0.04],[0.4  0.65],[-0.04  0.03],[-0.49  0.41],[0.   0.03],[-0.12  0.74],[0.04 0.02],[0.75 0.25],0.5639078,LPE10885_2023_10_20_4_0015
Dataset 05,16,[-0.12  0.6 ],"[[ 0.02  0.02]
 [ 0.02 -0.01]]",[0.7 0.3],"[[0.05 0.06]
 [0.03 0.04]]",[-0.94  0.85],[-0.47  0.49],[1. 1.],[0.34 0.55],[-0.53  0.13],"[[-0.04 -0.04]
 [ 0.08  0.02]]","[[ 0.12  0.13]
 [ 0.02 -0.1 ]]","[[-0.   -0.  ]
 [-0.01 -0.  ]]","[[0.01 0.02]
 [0.01 0.01]]","[[ 0.   -0.  ]
 [ 0.01 -0.  ]]",[ 0.05 -0.04],[-0.89  0.81],[0.05 0.03],[-0.42  0.53],[ 0.05 -0.04],[1.05 0.96],[-0.05 -0.01],[0.29 0.54],[0.03 0.05],[-0.5   0.18],[ 0.03 -0.  ],[-0.09  0.6 ],[0.04 0.04],[0.69 0.27],0.59757733,LPE10885_2023_10_20_4_0016
Dataset 05,17,[-0.14  0.68],"[[0.05 0.01]
 [0.   0.02]]",[0.72 0.27],"[[0.04 0.06]
 [0.07 0.08]]",[-1.    0.97],[-0.49  0.53],[1. 1.],[0.35 0.59],[-0.55  0.3 ],"[[0.1  0.12]
 [0.12 0.13]]","[[ 0.04 -0.07]
 [-0.02  0.06]]","[[ 0.   -0.  ]
 [-0.01 -0.  ]]","[[ 0.09  0.02]
 [-0.1  -0.1 ]]","[[-0.   -0.  ]
 [ 0.01 -0.01]]",[-0.05  0.05],[-1.05  1.02],[ 0.05 -0.05],[-0.43  0.48],[-0.    0.05],[1.   1.05],[0.03 0.05],[0.38 0.64],[-0.05  0.05],[-0.61  0.35],[-0.    0.03],[-0.14  0.71],[0.04 0.04],[0.73 0.28],0.23150083,LPE10885_2023_10_20_4_0017
Dataset 05,18,[-0.13  0.71],"[[-0.03 -0.01]
 [ 0.02  0.01]]",[0.71 0.24],"[[0.04 0.04]
 [0.04 0.04]]",[-1.    0.99],[-0.5   0.57],[1. 1.],[0.35 0.61],[-0.49  0.38],"[[-0.08  0.02]
 [-0.    0.02]]","[[ 0.02  0.03]
 [ 0.   -0.05]]","[[ 0.01 -0.01]
 [ 0.   -0.  ]]","[[-0.08 -0.08]
 [ 0.1   0.07]]","[[-0.01 -0.  ]
 [-0.01 -0.  ]]",[ 0.   -0.04],[-1.    0.95],[-0.05  0.05],[-0.55  0.62],[0.04 0.05],[1.04 1.05],[0.02 0.02],[0.37 0.63],[0.   0.05],[-0.49  0.44],[0.   0.03],[-0.12  0.74],[0.03 0.04],[0.73 0.23],0.5010278,LPE10885_2023_10_20_4_0018
Dataset 05,19,[-0.14  0.59],"[[-0.05  0.03]
 [ 0.04  0.  ]]",[0.71 0.32],"[[0.07 0.09]
 [0.08 0.04]]",[-0.91  0.8 ],[-0.47  0.5 ],[1. 1.],[0.34 0.55],[-0.66  0.07],"[[-0.11 -0.06]
 [ 0.21  0.03]]","[[-0.17  0.2 ]
 [-0.   -0.06]]","[[-0.   -0.  ]
 [ 0.01  0.  ]]","[[0.01 0.  ]
 [0.   0.05]]","[[ 0.   -0.01]
 [ 0.01 -0.  ]]",[ 0.02 -0.05],[-0.88  0.75],[ 0.04 -0.04],[-0.44  0.46],[ 0.02 -0.05],[1.02 0.95],[-0.05 -0.05],[0.29 0.5 ],[0.   0.05],[-0.66  0.11],[ 0.01 -0.03],[-0.13  0.56],[0.03 0.04],[0.7  0.28],0.41011432,LPE10885_2023_10_20_4_0019
Dataset 05,20,[-0.11  0.65],"[[-0.03 -0.01]
 [ 0.01 -0.03]]",[0.7  0.28],"[[0.03 0.03]
 [0.02 0.04]]",[-0.98  0.93],[-0.47  0.5 ],[1. 1.],[0.34 0.57],[-0.46  0.23],"[[-0.03  0.01]
 [ 0.01 -0.01]]","[[-0.03 -0.02]
 [ 0.05 -0.11]]","[[ 0.    0.01]
 [-0.01 -0.01]]","[[-0.08 -0.06]
 [ 0.02 -0.05]]","[[ 0.  0.]
 [-0. -0.]]",[ 0.05 -0.05],[-0.93  0.88],[0.05 0.  ],[-0.42  0.51],[0.02 0.03],[1.02 1.03],[-0.01  0.02],[0.34 0.59],[0.02 0.05],[-0.44  0.29],[0.03 0.01],[-0.09  0.66],[0.02 0.03],[0.69 0.27],0.5598158,LPE10885_2023_10_20_4_0020
Dataset 05,21,[-0.08  0.64],"[[ 0.03  0.04]
 [-0.01 -0.  ]]",[0.69 0.31],"[[0.04 0.06]
 [0.02 0.07]]",[-0.99  0.95],[-0.49  0.53],[1. 1.],[0.34 0.56],[-0.28  0.17],"[[ 0.01  0.11]
 [ 0.   -0.13]]","[[ 0.1   0.12]
 [-0.02  0.03]]","[[ 0.   -0.  ]
 [ 0.   -0.01]]","[[ 0.03 -0.04]
 [-0.06  0.08]]","[[ 0.   -0.01]
 [ 0.01  0.01]]",[ 0.02 -0.  ],[-0.97  0.94],[ 0.02 -0.04],[-0.47  0.49],[0.05 0.03],[1.05 1.03],[ 0.05 -0.02],[0.39 0.54],[-0.01  0.05],[-0.3   0.22],[0.03 0.  ],[-0.06  0.64],[0.02 0.03],[0.71 0.3 ],0.6453695,LPE10885_2023_10_20_4_0021
Dataset 05,22,[-0.1   0.65],"[[-0.    0.01]
 [-0.   -0.02]]",[0.69 0.28],"[[0.02 0.04]
 [0.05 0.03]]",[-0.99  0.95],[-0.48  0.52],[1. 1.],[0.34 0.56],[-0.36  0.25],"[[ 0.03  0.06]
 [ 0.04 -0.02]]","[[-0.02 -0.05]
 [-0.1  -0.  ]]","[[-0.    0.  ]
 [ 0.01 -0.  ]]","[[-0.01  0.03]
 [ 0.04 -0.08]]","[[ 0.   -0.  ]
 [-0.01  0.  ]]",[ 0.03 -0.04],[-0.96  0.9 ],[ 0.05 -0.03],[-0.43  0.49],[-0.01  0.05],[0.99 1.05],[0.05 0.02],[0.39 0.58],[-0.05  0.05],[-0.41  0.3 ],[0.01 0.01],[-0.08  0.67],[0.04 0.04],[0.69 0.27],0.63373333,LPE10885_2023_10_20_4_0022
Dataset 05,23,[-0.16  0.71],"[[-0.02 -0.01]
 [-0.01 -0.01]]",[0.73 0.25],"[[0.05 0.02]
 [0.03 0.06]]",[-1.    0.99],[-0.51  0.57],[1. 1.],[0.36 0.63],[-0.66  0.36],"[[0.05 0.01]
 [0.04 0.09]]","[[-0.09 -0.05]
 [-0.06 -0.09]]","[[-0. -0.]
 [-0.  0.]]","[[-0.06 -0.  ]
 [-0.01 -0.05]]","[[-0.01 -0.01]
 [ 0.01 -0.01]]",[0.04 0.05],[-0.96  1.04],[-0.05 -0.03],[-0.56  0.54],[-0.03  0.05],[0.97 1.05],[-0.04 -0.05],[0.32 0.58],[ 0.02 -0.  ],[-0.64  0.35],[-0.01  0.  ],[-0.17  0.71],[0.04 0.04],[0.71 0.28],0.5276732,LPE10885_2023_10_20_4_0023
Dataset 05,24,[-0.13  0.62],"[[-0.    0.03]
 [ 0.05 -0.02]]",[0.71 0.36],"[[0.09 0.05]
 [0.05 0.1 ]]",[-0.99  0.94],[-0.5   0.55],[1. 1.],[0.35 0.59],[-0.5   0.01],"[[0.15 0.11]
 [0.05 0.06]]","[[-0.14 -0.03]
 [ 0.06  0.05]]","[[-0.   -0.  ]
 [-0.    0.01]]","[[-0.01  0.04]
 [ 0.15 -0.21]]","[[-0.  0.]
 [ 0. -0.]]",[-0.05  0.05],[-1.04  0.99],[-0.02 -0.02],[-0.51  0.53],[ 0.05 -0.03],[1.05 0.97],[0.05 0.05],[0.4  0.64],[-0.   -0.04],[-0.5  -0.04],[0. 0.],[-0.12  0.62],[0.04 0.04],[0.75 0.37],0.48601288,LPE10885_2023_10_20_4_0024
Dataset 05,25,[-0.22  0.62],"[[0.02 0.05]
 [0.03 0.01]]",[0.78 0.31],"[[0.05 0.08]
 [0.07 0.04]]",[-0.96  0.87],[-0.49  0.54],[1. 1.],[0.35 0.61],[-0.98  0.09],"[[0.12 0.12]
 [0.14 0.02]]","[[ 0.01  0.18]
 [-0.05  0.09]]","[[-0.01 -0.  ]
 [-0.   -0.01]]","[[-0.01 -0.02]
 [ 0.05 -0.05]]","[[-0.01 -0.  ]
 [ 0.    0.  ]]",[-0.05  0.02],[-1.    0.89],[-0.05  0.04],[-0.54  0.58],[-0.05  0.01],[0.95 1.01],[0.04 0.03],[0.39 0.64],[ 0.01 -0.05],[-0.97  0.05],[-0.02  0.01],[-0.24  0.63],[0.04 0.03],[0.78 0.33],0.24938512,LPE10885_2023_10_20_4_0025
Dataset 05,26,[-0.12  0.7 ],"[[-0.01  0.02]
 [-0.01 -0.02]]",[0.71 0.25],"[[0.06 0.03]
 [0.03 0.02]]",[-1.    0.99],[-0.5   0.56],[1. 1.],[0.35 0.6 ],[-0.46  0.36],"[[-0.1   0.02]
 [ 0.02 -0.03]]","[[ 0.03  0.08]
 [ 0.01 -0.05]]","[[-0.01  0.  ]
 [ 0.    0.  ]]","[[ 0.06  0.01]
 [-0.07 -0.01]]","[[-0.01 -0.  ]
 [-0.   -0.01]]",[-0.02  0.05],[-1.02  1.04],[ 0.01 -0.02],[-0.49  0.53],[-0.01  0.03],[0.99 1.03],[-0.04  0.03],[0.31 0.63],[-0.01 -0.01],[-0.46  0.35],[-0.01  0.02],[-0.13  0.72],[0.02 0.03],[0.71 0.28],0.6621986,LPE10885_2023_10_20_4_0026
Dataset 05,27,[-0.19  0.67],"[[0.03 0.06]
 [0.   0.06]]",[0.75 0.29],"[[0.07 0.05]
 [0.06 0.05]]",[-0.99  0.97],[-0.5   0.56],[1. 1.],[0.36 0.63],[-0.82  0.22],"[[ 0.16  0.1 ]
 [-0.08  0.11]]","[[0.01 0.09]
 [0.01 0.1 ]]","[[ 0.    0.  ]
 [-0.01 -0.  ]]","[[-0.04  0.1 ]
 [ 0.09  0.07]]","[[-0.  0.]
 [ 0. -0.]]",[-0.05  0.05],[-1.05  1.02],[-0.03 -0.02],[-0.53  0.54],[-0.04  0.05],[0.96 1.05],[-0.05 -0.03],[0.3 0.6],[0.05 0.03],[-0.77  0.25],[-0.03  0.02],[-0.22  0.69],[0.04 0.04],[0.74 0.3 ],0.7772143,LPE10885_2023_10_20_4_0027
Dataset 05,28,[-0.13  0.71],"[[ 0.    0.1 ]
 [ 0.   -0.01]]",[0.72 0.24],"[[0.02 0.08]
 [0.08 0.06]]",[-1.    0.99],[-0.5   0.57],[1. 1.],[0.35 0.61],[-0.52  0.39],"[[-0.02  0.13]
 [ 0.09  0.08]]","[[-0.    0.15]
 [ 0.06 -0.02]]","[[-0.    0.01]
 [-0.   -0.  ]]","[[ 0.05  0.21]
 [-0.13 -0.11]]","[[-0.   -0.  ]
 [-0.   -0.01]]",[-0.05 -0.05],[-1.05  0.94],[-0.05  0.04],[-0.56  0.61],[0.05 0.05],[1.05 1.05],[0.03 0.04],[0.38 0.65],[ 0.05 -0.01],[-0.46  0.38],[0.01 0.01],[-0.13  0.73],[0.05 0.04],[0.75 0.24],0.34327918,LPE10885_2023_10_20_4_0028
Dataset 05,29,[-0.11  0.69],"[[ 0.01 -0.05]
 [-0.01  0.03]]",[0.7  0.26],"[[0.03 0.05]
 [0.02 0.05]]",[-1.    0.98],[-0.5   0.55],[1. 1.],[0.35 0.58],[-0.4   0.33],"[[ 0.08 -0.02]
 [ 0.01 -0.02]]","[[-0.   -0.1 ]
 [-0.04  0.09]]","[[ 0. -0.]
 [ 0.  0.]]","[[-0.02 -0.12]
 [-0.02  0.1 ]]","[[ 0.    0.  ]
 [-0.   -0.01]]",[ 0.05 -0.01],[-0.95  0.97],[-0.03  0.05],[-0.53  0.6 ],[0.05 0.05],[1.05 1.05],[-0.05 -0.01],[0.29 0.57],[0.02 0.05],[-0.38  0.38],[0.01 0.03],[-0.1   0.71],[0.04 0.03],[0.7  0.26],0.88280565,LPE10885_2023_10_20_4_0029
Dataset 05,30,[-0.09  0.63],"[[ 0.06  0.04]
 [-0.02 -0.01]]",[0.69 0.31],"[[0.09 0.05]
 [0.04 0.02]]",[-0.99  0.94],[-0.49  0.53],[1. 1.],[0.34 0.55],[-0.29  0.14],"[[ 0.09  0.09]
 [ 0.04 -0.01]]","[[ 0.22  0.11]
 [-0.05 -0.04]]","[[ 0.    0.  ]
 [-0.01 -0.01]]","[[-0.02 -0.01]
 [-0.08  0.01]]","[[-0. -0.]
 [ 0.  0.]]",[ 0.   -0.05],[-0.99  0.89],[-0.05  0.05],[-0.54  0.58],[0.05 0.03],[1.05 1.03],[-0.03 -0.05],[0.31 0.5 ],[-0.01  0.  ],[-0.31  0.15],[-0.01 -0.  ],[-0.09  0.63],[0.03 0.04],[0.71 0.31],0.53709054,LPE10885_2023_10_20_4_0030
Dataset 05,31,[-0.13  0.66],"[[ 0.01  0.02]
 [ 0.03 -0.  ]]",[0.71 0.28],"[[0.1  0.09]
 [0.03 0.02]]",[-0.99  0.95],[-0.48  0.51],[1. 1.],[0.35 0.58],[-0.51  0.26],"[[0.2  0.19]
 [0.07 0.04]]","[[-0.07 -0.1 ]
 [ 0.06 -0.02]]","[[ 0.    0.  ]
 [-0.   -0.01]]","[[-0.08  0.03]
 [ 0.01 -0.03]]","[[-0.    0.  ]
 [ 0.    0.01]]",[-0.04  0.05],[-1.03  1.  ],[-0.05  0.03],[-0.52  0.54],[0.05 0.05],[1.05 1.05],[0. 0.],[0.35 0.58],[0.05 0.04],[-0.46  0.3 ],[0.   0.03],[-0.12  0.69],[0.04 0.02],[0.73 0.29],0.52113754,LPE10885_2023_10_20_4_0031
