dataset,neuron,mean,cov,mean_std,cov_std,mean_0,mean_1,mean_2,mean_3,mean_4,cov_0,cov_1,cov_2,cov_3,cov_4,single_trial_correlation,cell_id
,,[-0.18  0.19],"[[ 0.04  0.06]
 [-0.06 -0.  ]]",[0.96 0.92],"[[0.12 0.15]
 [0.07 0.07]]",[-1. -1.],[0.99 0.99],[-0.94 -0.87],[1. 1.],[-0.96  0.82],"[[ 0.01  0.25]
 [ 0.03 -0.07]]","[[-0.03 -0.08]
 [-0.15  0.12]]","[[-0.03  0.21]
 [-0.09  0.02]]","[[ 0.27 -0.12]
 [-0.12 -0.07]]","[[-0.03  0.02]
 [ 0.01 -0.02]]",,
,,[-0.17  0.18],"[[0.05 0.02]
 [0.05 0.04]]",[0.95 0.9 ],"[[0.14 0.06]
 [0.09 0.09]]",[-1. -1.],[0.98 0.99],[-0.91 -0.84],[1. 1.],[-0.91  0.73],"[[0.16 0.02]
 [0.04 0.01]]","[[ 0.16 -0.08]
 [-0.02  0.07]]","[[0.01 0.1 ]
 [0.2  0.17]]","[[-0.22  0.09]
 [ 0.08  0.05]]","[[ 0.13 -0.01]
 [-0.04 -0.1 ]]",,
,,[-0.17  0.17],"[[ 0.05  0.02]
 [ 0.01 -0.02]]",[0.95 0.9 ],"[[0.05 0.06]
 [0.08 0.08]]",[-1. -1.],[0.99 0.99],[-0.92 -0.84],[1. 1.],[-0.9   0.71],"[[ 0.09  0.04]
 [-0.03  0.1 ]]","[[-0.04 -0.1 ]
 [ 0.07 -0.02]]","[[ 0.09  0.09]
 [ 0.06 -0.11]]","[[ 0.04  0.06]
 [ 0.08 -0.11]]","[[ 0.07  0.01]
 [-0.12  0.05]]",,
,,[-0.19  0.2 ],"[[ 0.04  0.  ]
 [-0.03  0.07]]",[0.96 0.92],"[[0.08 0.15]
 [0.08 0.07]]",[-1. -1.],[0.98 0.98],[-0.93 -0.86],[1. 1.],[-0.97  0.86],"[[-0.08 -0.2 ]
 [ 0.04  0.11]]","[[ 0.1  -0.14]
 [ 0.    0.07]]","[[ 0.03  0.06]
 [-0.    0.14]]","[[ 0.16  0.18]
 [-0.   -0.07]]","[[-0.    0.11]
 [-0.18  0.07]]",,
,,[-0.17  0.18],"[[ 0.03  0.03]
 [-0.02 -0.03]]",[0.95 0.9 ],"[[0.14 0.12]
 [0.08 0.04]]",[-1. -1.],[0.98 0.99],[-0.91 -0.84],[1. 1.],[-0.91  0.73],"[[ 0.27  0.23]
 [-0.04 -0.05]]","[[-0.03 -0.03]
 [-0.09 -0.05]]","[[ 0.1  -0.12]
 [ 0.04  0.03]]","[[-0.15 -0.02]
 [ 0.1  -0.01]]","[[-0.04  0.07]
 [-0.12 -0.08]]",,
,,[-0.17  0.18],"[[-0.03  0.02]
 [ 0.09 -0.02]]",[0.95 0.9 ],"[[0.12 0.07]
 [0.01 0.15]]",[-1. -1.],[0.99 0.99],[-0.91 -0.84],[1. 1.],[-0.91  0.73],"[[ 0.08  0.05]
 [ 0.09 -0.08]]","[[ 0.11 -0.02]
 [ 0.08 -0.07]]","[[-0.15  0.04]
 [ 0.09  0.19]]","[[-0.19 -0.08]
 [ 0.08 -0.25]]","[[-0.02  0.12]
 [ 0.11  0.1 ]]",,
,,[-0.18  0.2 ],"[[ 0.06 -0.02]
 [ 0.07 -0.01]]",[0.96 0.92],"[[0.12 0.12]
 [0.05 0.1 ]]",[-1. -1.],[0.98 0.98],[-0.92 -0.84],[1. 1.],[-0.97  0.85],"[[-0.04 -0.2 ]
 [ 0.06  0.12]]","[[ 0.27 -0.08]
 [-0.02  0.07]]","[[-0.06  0.01]
 [ 0.1  -0.08]]","[[ 0.13  0.15]
 [ 0.12 -0.16]]","[[ 0.01  0.03]
 [ 0.1  -0.01]]",,
,,[-0.19  0.21],"[[-0.03 -0.07]
 [-0.03  0.05]]",[0.96 0.93],"[[0.06 0.05]
 [0.06 0.04]]",[-1. -1.],[0.99 0.99],[-0.94 -0.86],[1. 1.],[-0.99  0.91],"[[-0.14 -0.09]
 [ 0.   -0.  ]]","[[ 0.06 -0.11]
 [ 0.03  0.04]]","[[-0.02 -0.06]
 [-0.06  0.05]]","[[-0.03  0.02]
 [-0.12  0.11]]","[[-0.02 -0.13]
 [-0.    0.05]]",,
,,[-0.17  0.17],"[[0.03 0.03]
 [0.04 0.08]]",[0.95 0.9 ],"[[0.11 0.12]
 [0.1  0.08]]",[-1. -1.],[0.99 0.99],[-0.92 -0.84],[1. 1.],[-0.9   0.71],"[[ 0.1   0.16]
 [-0.01 -0.01]]","[[-0.09 -0.14]
 [ 0.21  0.1 ]]","[[ 0.19  0.08]
 [-0.09  0.2 ]]","[[ 0.02 -0.09]
 [ 0.01 -0.01]]","[[-0.07  0.15]
 [ 0.11  0.12]]",,
,,[-0.18  0.19],"[[ 0.02 -0.07]
 [ 0.02 -0.02]]",[0.96 0.92],"[[0.09 0.04]
 [0.1  0.1 ]]",[-1. -1.],[0.97 0.98],[-0.93 -0.85],[1. 1.],[-0.97  0.84],"[[-0.02 -0.01]
 [-0.1   0.09]]","[[ 0.06 -0.07]
 [ 0.02  0.08]]","[[ 0.05 -0.04]
 [-0.08 -0.03]]","[[ 0.13 -0.09]
 [ 0.1  -0.08]]","[[-0.14 -0.14]
 [ 0.15 -0.16]]",,
,,[-0.17  0.17],"[[ 0.03 -0.03]
 [ 0.03  0.04]]",[0.95 0.9 ],"[[0.09 0.08]
 [0.08 0.12]]",[-1. -1.],[0.99 0.99],[-0.92 -0.84],[1. 1.],[-0.9   0.71],"[[-0.11 -0.16]
 [ 0.14  0.04]]","[[ 0.07 -0.02]
 [ 0.03  0.11]]","[[-0.03  0.1 ]
 [-0.11 -0.19]]","[[ 0.06 -0.04]
 [ 0.01  0.12]]","[[ 0.17 -0.06]
 [ 0.07  0.12]]",,
,,[-0.18  0.19],"[[-0.01  0.03]
 [-0.02 -0.04]]",[0.96 0.91],"[[0.03 0.11]
 [0.1  0.07]]",[-1. -1.],[0.98 0.99],[-0.92 -0.84],[1. 1.],[-0.96  0.83],"[[ 0.01 -0.03]
 [-0.17 -0.03]]","[[-0.06  0.05]
 [-0.04  0.03]]","[[ 0.    0.23]
 [-0.02 -0.12]]","[[-0.01 -0.1 ]
 [ 0.16 -0.14]]","[[ 0.01  0.01]
 [-0.02  0.04]]",,
,,[-0.19  0.2 ],"[[-0.09 -0.08]
 [-0.07 -0.06]]",[0.96 0.93],"[[0.11 0.03]
 [0.05 0.09]]",[-1. -1.],[0.99 0.99],[-0.95 -0.87],[1. 1.],[-0.97  0.86],"[[ 0.09 -0.14]
 [-0.06 -0.03]]","[[-0.13 -0.09]
 [-0.03  0.1 ]]","[[-0.2  -0.05]
 [-0.16 -0.07]]","[[-0.18 -0.05]
 [-0.01 -0.13]]","[[-0.05 -0.07]
 [-0.11 -0.16]]",,
,,[-0.17  0.17],"[[ 0.01  0.05]
 [-0.02 -0.03]]",[0.95 0.9 ],"[[0.07 0.07]
 [0.07 0.1 ]]",[-1. -1.],[0.99 0.99],[-0.92 -0.84],[1. 1.],[-0.91  0.72],"[[ 0.08  0.05]
 [-0.15  0.16]]","[[ 0.03 -0.08]
 [-0.02 -0.04]]","[[-0.11  0.1 ]
 [-0.01 -0.14]]","[[-0.03  0.11]
 [ 0.05 -0.08]]","[[ 0.09  0.07]
 [ 0.02 -0.06]]",,
,,[-0.18  0.19],"[[ 0.    0.02]
 [ 0.02 -0.02]]",[0.95 0.91],"[[0.06 0.12]
 [0.14 0.04]]",[-1. -1.],[0.98 0.98],[-0.91 -0.83],[1. 1.],[-0.96  0.83],"[[-0.04 -0.12]
 [ 0.25 -0.05]]","[[-0.01  0.11]
 [ 0.03 -0.07]]","[[ 0.11  0.17]
 [ 0.06 -0.01]]","[[-0.04 -0.12]
 [-0.11  0.05]]","[[-0.01  0.05]
 [-0.11 -0.03]]",,
,,[-0.17  0.18],"[[-0.03 -0.03]
 [-0.09  0.02]]",[0.95 0.91],"[[0.1  0.08]
 [0.07 0.08]]",[-1. -1.],[0.99 0.99],[-0.93 -0.85],[1. 1.],[-0.93  0.77],"[[-0.14  0.05]
 [ 0.01 -0.01]]","[[ 0.09 -0.11]
 [-0.14 -0.07]]","[[ 0.03 -0.02]
 [-0.   -0.03]]","[[-0.17 -0.13]
 [-0.15  0.03]]","[[ 0.04  0.08]
 [-0.15  0.16]]",,
,,[-0.17  0.18],"[[ 0.06 -0.05]
 [ 0.02 -0.01]]",[0.95 0.9 ],"[[0.07 0.11]
 [0.13 0.08]]",[-1. -1.],[0.98 0.99],[-0.91 -0.83],[1. 1.],[-0.93  0.76],"[[ 0.09  0.02]
 [-0.2   0.03]]","[[-0.   -0.04]
 [-0.04  0.1 ]]","[[ 0.16 -0.25]
 [ 0.14 -0.06]]","[[-0.04 -0.02]
 [ 0.02  0.03]]","[[ 0.11  0.04]
 [ 0.15 -0.14]]",,
,,[-0.17  0.18],"[[-0.06  0.03]
 [ 0.06 -0.01]]",[0.95 0.91],"[[0.13 0.07]
 [0.12 0.09]]",[-1. -1.],[0.99 0.99],[-0.93 -0.85],[1. 1.],[-0.93  0.76],"[[-0.05 -0.01]
 [ 0.07 -0.03]]","[[ 0.12 -0.05]
 [ 0.18 -0.14]]","[[-0.25  0.16]
 [-0.04 -0.05]]","[[-0.13 -0.02]
 [ 0.2   0.05]]","[[ 0.03  0.04]
 [-0.09  0.12]]",,
,,[-0.17  0.18],"[[-0.04 -0.05]
 [ 0.03 -0.  ]]",[0.95 0.9 ],"[[0.11 0.08]
 [0.19 0.07]]",[-1. -1.],[0.98 0.99],[-0.92 -0.84],[1. 1.],[-0.91  0.73],"[[-0.21  0.03]
 [ 0.31  0.08]]","[[-0.07 -0.04]
 [ 0.21  0.06]]","[[ 0.11  0.03]
 [-0.12 -0.07]]","[[-0.02 -0.18]
 [-0.1   0.01]]","[[ 0.   -0.12]
 [-0.14 -0.09]]",,
,,[-0.18  0.2 ],"[[-0.04  0.02]
 [-0.05 -0.09]]",[0.96 0.92],"[[0.06 0.11]
 [0.09 0.04]]",[-1. -1.],[0.98 0.98],[-0.92 -0.84],[1. 1.],[-0.97  0.84],"[[-0.09  0.22]
 [ 0.02 -0.14]]","[[-0.   -0.06]
 [-0.   -0.05]]","[[ 0.07 -0.08]
 [-0.22 -0.1 ]]","[[-0.11 -0.  ]
 [-0.02 -0.04]]","[[-0.05  0.04]
 [-0.03 -0.12]]",,
,,[-0.19  0.2 ],"[[-0.08 -0.07]
 [ 0.01 -0.02]]",[0.96 0.93],"[[0.05 0.1 ]
 [0.08 0.13]]",[-1. -1.],[0.99 0.99],[-0.94 -0.87],[1. 1.],[-0.97  0.86],"[[-0.1  -0.24]
 [ 0.    0.1 ]]","[[-0.08 -0.03]
 [ 0.1   0.  ]]","[[ 0.01  0.01]
 [ 0.11 -0.04]]","[[-0.14 -0.11]
 [-0.11  0.09]]","[[-0.08  0.03]
 [-0.04 -0.27]]",,
,,[-0.17  0.19],"[[-0.08  0.06]
 [-0.01  0.02]]",[0.96 0.91],"[[0.15 0.09]
 [0.1  0.11]]",[-1. -1.],[0.99 0.99],[-0.92 -0.84],[1. 1.],[-0.94  0.79],"[[-0.18  0.04]
 [ 0.13  0.03]]","[[-0.18  0.05]
 [ 0.05  0.08]]","[[-0.19 -0.07]
 [ 0.01  0.1 ]]","[[ 0.2   0.22]
 [-0.1  -0.19]]","[[-0.06  0.05]
 [-0.14  0.1 ]]",,
,,[-0.17  0.17],"[[-0.   -0.01]
 [-0.03 -0.08]]",[0.95 0.9 ],"[[0.13 0.1 ]
 [0.15 0.09]]",[-1. -1.],[0.99 0.99],[-0.92 -0.84],[1. 1.],[-0.9   0.72],"[[-0.08 -0.19]
 [ 0.    0.  ]]","[[-0.12  0.  ]
 [-0.05 -0.16]]","[[-0.13  0.11]
 [ 0.2   0.  ]]","[[ 0.13 -0.04]
 [-0.01 -0.03]]","[[ 0.19  0.06]
 [-0.27 -0.2 ]]",,
,,[-0.17  0.18],"[[-0.08 -0.11]
 [ 0.03 -0.02]]",[0.95 0.91],"[[0.11 0.11]
 [0.09 0.08]]",[-1. -1.],[0.99 0.99],[-0.92 -0.85],[1. 1.],[-0.93  0.77],"[[-0.13 -0.25]
 [ 0.01  0.01]]","[[-0.11 -0.14]
 [-0.05  0.02]]","[[-0.22 -0.01]
 [ 0.19 -0.14]]","[[-0.04 -0.19]
 [ 0.08  0.09]]","[[ 0.1   0.03]
 [-0.05 -0.08]]",,
,,[-0.17  0.19],"[[ 0.07 -0.03]
 [-0.01 -0.04]]",[0.95 0.91],"[[0.16 0.12]
 [0.09 0.11]]",[-1. -1.],[0.98 0.99],[-0.91 -0.83],[1. 1.],[-0.94  0.79],"[[ 0.25 -0.25]
 [-0.17  0.14]]","[[-0.01 -0.07]
 [ 0.03 -0.1 ]]","[[-0.16  0.09]
 [-0.01 -0.01]]","[[ 0.01  0.08]
 [ 0.01 -0.03]]","[[ 0.27 -0.01]
 [ 0.09 -0.2 ]]",,
,,[-0.18  0.2 ],"[[-0.02  0.05]
 [ 0.11 -0.03]]",[0.96 0.92],"[[0.11 0.15]
 [0.09 0.13]]",[-1. -1.],[0.98 0.98],[-0.93 -0.85],[1. 1.],[-0.97  0.85],"[[0.07 0.21]
 [0.06 0.02]]","[[-0.19  0.12]
 [ 0.14 -0.23]]","[[-0.11 -0.15]
 [ 0.14 -0.13]]","[[ 0.08 -0.09]
 [-0.02  0.08]]","[[0.05 0.18]
 [0.25 0.12]]",,
,,[-0.18  0.2 ],"[[-0.07  0.04]
 [-0.08 -0.03]]",[0.96 0.92],"[[0.09 0.08]
 [0.06 0.01]]",[-1. -1.],[0.98 0.98],[-0.93 -0.85],[1. 1.],[-0.97  0.85],"[[-0.03 -0.09]
 [ 0.01 -0.03]]","[[ 0.08 -0.  ]
 [-0.05 -0.05]]","[[-0.12  0.1 ]
 [-0.06 -0.02]]","[[-0.17  0.11]
 [-0.13 -0.02]]","[[-0.11  0.11]
 [-0.15 -0.02]]",,
,,[-0.19  0.2 ],"[[ 0.    0.07]
 [ 0.   -0.07]]",[0.96 0.93],"[[0.1  0.06]
 [0.12 0.07]]",[-1. -1.],[0.98 0.99],[-0.94 -0.87],[1. 1.],[-0.98  0.9 ],"[[ 0.06  0.1 ]
 [-0.2  -0.08]]","[[-0.17  0.12]
 [ 0.17 -0.03]]","[[ 0.03  0.02]
 [-0.02  0.04]]","[[-0.02  0.13]
 [ 0.04 -0.13]]","[[ 0.12 -0.01]
 [ 0.02 -0.17]]",,
,,[-0.18  0.2 ],"[[ 0.04  0.04]
 [-0.07 -0.06]]",[0.96 0.92],"[[0.12 0.04]
 [0.12 0.06]]",[-1. -1.],[0.98 0.98],[-0.93 -0.85],[1. 1.],[-0.97  0.86],"[[-0.14  0.11]
 [-0.04 -0.04]]","[[ 0.09  0.04]
 [-0.18  0.02]]","[[ 0.13  0.03]
 [ 0.1  -0.07]]","[[ 0.16 -0.  ]
 [-0.01 -0.07]]","[[-0.04  0.04]
 [-0.22 -0.15]]",,
,,[-0.18  0.19],"[[-0.05 -0.03]
 [ 0.02 -0.04]]",[0.96 0.92],"[[0.1  0.1 ]
 [0.07 0.16]]",[-1. -1.],[0.98 0.99],[-0.94 -0.86],[1. 1.],[-0.96  0.84],"[[ 0.03 -0.12]
 [ 0.02  0.21]]","[[ 0.07  0.11]
 [-0.08  0.06]]","[[-0.17  0.05]
 [ 0.13 -0.13]]","[[-0.17 -0.05]
 [ 0.06 -0.11]]","[[ 0.02 -0.17]
 [-0.03 -0.23]]",,
,,[-0.18  0.18],"[[ 0.05  0.04]
 [ 0.06 -0.05]]",[0.95 0.91],"[[0.07 0.09]
 [0.14 0.09]]",[-1. -1.],[0.97 0.98],[-0.92 -0.84],[1. 1.],[-0.94  0.78],"[[ 0.15  0.15]
 [-0.07 -0.06]]","[[0.02 0.12]
 [0.26 0.05]]","[[ 0.1   0.02]
 [ 0.06 -0.01]]","[[-0.02  0.02]
 [-0.11  0.  ]]","[[-0.03 -0.09]
 [ 0.14 -0.21]]",,
,,[-0.18  0.19],"[[ 0.11  0.01]
 [-0.09 -0.02]]",[0.95 0.91],"[[0.13 0.14]
 [0.12 0.1 ]]",[-1. -1.],[0.98 0.99],[-0.93 -0.85],[1. 1.],[-0.94  0.79],"[[ 0.29 -0.23]
 [-0.19 -0.05]]","[[ 0.07  0.19]
 [-0.13 -0.1 ]]","[[-0.    0.06]
 [-0.   -0.01]]","[[ 0.24  0.07]
 [ 0.08 -0.12]]","[[-0.05 -0.02]
 [-0.22  0.16]]",,
,,[-0.18  0.19],"[[-0.02 -0.03]
 [-0.03  0.01]]",[0.96 0.91],"[[0.13 0.06]
 [0.11 0.05]]",[-1. -1.],[0.99 0.99],[-0.92 -0.84],[1. 1.],[-0.95  0.81],"[[-0.26 -0.12]
 [ 0.08  0.07]]","[[ 0.05 -0.04]
 [ 0.09  0.01]]","[[-0.06 -0.05]
 [-0.2  -0.07]]","[[ 0.13 -0.02]
 [-0.06  0.02]]","[[ 0.05  0.06]
 [-0.06  0.01]]",,
,,[-0.19  0.21],"[[-0.06 -0.01]
 [ 0.04  0.07]]",[0.96 0.93],"[[0.13 0.08]
 [0.05 0.04]]",[-1. -1.],[0.98 0.99],[-0.94 -0.86],[1. 1.],[-0.98  0.9 ],"[[-0.17 -0.09]
 [ 0.12  0.06]]","[[0.13 0.02]
 [0.   0.09]]","[[-0.21 -0.1 ]
 [ 0.01 -0.  ]]","[[-0.09  0.02]
 [-0.    0.08]]","[[0.07 0.13]
 [0.04 0.13]]",,
,,[-0.18  0.19],"[[ 0.05 -0.1 ]
 [-0.01 -0.  ]]",[0.95 0.91],"[[0.03 0.11]
 [0.07 0.04]]",[-1. -1.],[0.97 0.98],[-0.92 -0.84],[1. 1.],[-0.95  0.81],"[[ 0.07 -0.01]
 [-0.02 -0.04]]","[[ 0.09 -0.01]
 [-0.13 -0.03]]","[[ 0.04 -0.04]
 [-0.   -0.03]]","[[ 0.01 -0.18]
 [-0.02  0.07]]","[[ 0.04 -0.27]
 [ 0.11  0.02]]",,
,,[-0.17  0.18],"[[ 0.   -0.02]
 [ 0.06 -0.03]]",[0.95 0.9 ],"[[0.07 0.13]
 [0.14 0.17]]",[-1. -1.],[0.98 0.99],[-0.92 -0.84],[1. 1.],[-0.92  0.75],"[[-0.1  -0.14]
 [-0.01  0.17]]","[[ 0.12 -0.15]
 [ 0.1   0.1 ]]","[[-0.   -0.06]
 [-0.13  0.03]]","[[-0.01  0.18]
 [ 0.28 -0.28]]","[[ 0.02  0.07]
 [ 0.05 -0.19]]",,
,,[-0.17  0.17],"[[ 0.07 -0.01]
 [ 0.04  0.03]]",[0.95 0.91],"[[0.11 0.14]
 [0.1  0.05]]",[-1. -1.],[0.99 0.99],[-0.93 -0.86],[1. 1.],[-0.91  0.74],"[[ 0.06  0.08]
 [-0.04 -0.04]]","[[-0.11  0.04]
 [-0.03 -0.  ]]","[[ 0.09 -0.01]
 [-0.07  0.04]]","[[ 0.24 -0.28]
 [ 0.14  0.06]]","[[0.08 0.11]
 [0.19 0.09]]",,
,,[-0.17  0.18],"[[ 0.02 -0.  ]
 [ 0.07  0.04]]",[0.95 0.91],"[[0.09 0.12]
 [0.07 0.08]]",[-1. -1.],[0.99 0.99],[-0.93 -0.85],[1. 1.],[-0.93  0.77],"[[-0.1   0.07]
 [ 0.1  -0.03]]","[[ 0.16 -0.22]
 [ 0.04  0.2 ]]","[[0.08 0.13]
 [0.19 0.07]]","[[-0.05  0.01]
 [-0.03  0.  ]]","[[ 0.02 -0.01]
 [ 0.03 -0.02]]",,
,,[-0.18  0.19],"[[0.04 0.05]
 [0.05 0.05]]",[0.96 0.92],"[[0.1  0.11]
 [0.08 0.14]]",[-1. -1.],[0.98 0.99],[-0.94 -0.86],[1. 1.],[-0.97  0.85],"[[0.03 0.08]
 [0.08 0.09]]","[[-0.13  0.11]
 [ 0.13  0.06]]","[[ 0.16  0.21]
 [ 0.08 -0.23]]","[[ 0.08 -0.11]
 [-0.11  0.15]]","[[ 0.08 -0.04]
 [ 0.06  0.16]]",,
,,[-0.17  0.19],"[[ 0.01  0.01]
 [ 0.05 -0.  ]]",[0.95 0.91],"[[0.15 0.06]
 [0.15 0.07]]",[-1. -1.],[0.99 0.99],[-0.91 -0.84],[1. 1.],[-0.95  0.8 ],"[[ 0.18 -0.09]
 [ 0.06  0.07]]","[[ 0.18  0.11]
 [-0.05 -0.06]]","[[-0.17  0.  ]
 [ 0.22 -0.07]]","[[-0.07  0.02]
 [ 0.19  0.1 ]]","[[-0.09  0.03]
 [-0.19 -0.04]]",,
,,[-0.17  0.18],"[[-0.05 -0.03]
 [ 0.01  0.04]]",[0.96 0.91],"[[0.15 0.06]
 [0.06 0.08]]",[-1. -1.],[1. 1.],[-0.94 -0.87],[1. 1.],[-0.93  0.76],"[[0.14 0.04]
 [0.05 0.01]]","[[ 0.08 -0.01]
 [ 0.03  0.04]]","[[-0.07 -0.14]
 [ 0.05  0.16]]","[[-0.16  0.01]
 [-0.1   0.09]]","[[-0.25 -0.07]
 [ 0.01 -0.08]]",,
,,[-0.17  0.18],"[[ 0.   -0.04]
 [-0.08  0.05]]",[0.95 0.91],"[[0.08 0.1 ]
 [0.09 0.07]]",[-1. -1.],[0.99 0.99],[-0.93 -0.85],[1. 1.],[-0.92  0.75],"[[-0.12  0.01]
 [-0.02 -0.02]]","[[ 0.1  -0.11]
 [-0.21  0.04]]","[[-0.02 -0.07]
 [-0.12  0.18]]","[[ 0.07 -0.15]
 [-0.08  0.02]]","[[-0.02  0.14]
 [ 0.04  0.02]]",,
,,[-0.17  0.19],"[[-0.01 -0.02]
 [ 0.    0.01]]",[0.95 0.9 ],"[[0.05 0.08]
 [0.05 0.04]]",[-1. -1.],[0.98 0.98],[-0.91 -0.83],[1. 1.],[-0.94  0.78],"[[ 0.02  0.05]
 [ 0.06 -0.03]]","[[-0.09 -0.07]
 [-0.    0.02]]","[[ 0.07  0.08]
 [-0.05  0.06]]","[[-0.04 -0.15]
 [ 0.05  0.06]]","[[ 0.   -0.03]
 [-0.04 -0.04]]",,
,,[-0.19  0.21],"[[-0.    0.  ]
 [-0.01  0.07]]",[0.96 0.93],"[[0.07 0.08]
 [0.1  0.08]]",[-1. -1.],[0.99 0.99],[-0.94 -0.87],[1. 1.],[-0.99  0.91],"[[-0.03  0.  ]
 [-0.    0.09]]","[[ 0.12 -0.13]
 [-0.06  0.15]]","[[ 0.01 -0.02]
 [ 0.16  0.05]]","[[-0.1   0.06]
 [-0.02 -0.08]]","[[-0.01  0.11]
 [-0.12  0.15]]",,
,,[-0.17  0.18],"[[-0.04 -0.  ]
 [ 0.    0.11]]",[0.95 0.91],"[[0.08 0.16]
 [0.03 0.07]]",[-1. -1.],[0.99 0.99],[-0.92 -0.85],[1. 1.],[-0.93  0.76],"[[-0.19  0.16]
 [ 0.02  0.09]]","[[-0.05 -0.12]
 [ 0.03  0.01]]","[[-0.   -0.25]
 [ 0.02  0.18]]","[[-0.01  0.07]
 [-0.01  0.05]]","[[ 0.05  0.13]
 [-0.05  0.2 ]]",,
,,[-0.18  0.19],"[[ 0.02 -0.04]
 [-0.03  0.04]]",[0.95 0.91],"[[0.12 0.06]
 [0.1  0.04]]",[-1. -1.],[0.98 0.98],[-0.91 -0.83],[1. 1.],[-0.96  0.83],"[[-0.2  -0.13]
 [-0.01  0.  ]]","[[ 0.15  0.02]
 [-0.16  0.07]]","[[ 0.11 -0.03]
 [-0.05  0.05]]","[[ 0.01 -0.09]
 [-0.06  0.09]]","[[ 0.05  0.01]
 [ 0.15 -0.02]]",,
,,[-0.19  0.2 ],"[[ 0.05  0.  ]
 [-0.04 -0.  ]]",[0.96 0.93],"[[0.12 0.09]
 [0.1  0.08]]",[-1. -1.],[0.99 0.99],[-0.95 -0.87],[1. 1.],[-0.98  0.88],"[[ 0.08  0.01]
 [-0.09  0.04]]","[[ 0.08 -0.12]
 [ 0.08  0.07]]","[[-0.16  0.12]
 [-0.2  -0.15]]","[[ 0.21 -0.08]
 [ 0.01 -0.04]]","[[ 0.05  0.09]
 [-0.02  0.06]]",,
,,[-0.19  0.21],"[[ 0.02  0.08]
 [-0.06 -0.01]]",[0.97 0.93],"[[0.08 0.07]
 [0.13 0.05]]",[-1. -1.],[0.99 0.99],[-0.95 -0.87],[1. 1.],[-0.99  0.91],"[[ 0.17  0.15]
 [-0.17  0.03]]","[[ 0.   -0.04]
 [-0.17 -0.01]]","[[-0.04  0.04]
 [ 0.15 -0.01]]","[[-0.04  0.16]
 [-0.14 -0.09]]","[[0.02 0.07]
 [0.01 0.05]]",,
,,[-0.17  0.18],"[[-0.03  0.09]
 [ 0.01  0.09]]",[0.95 0.91],"[[0.04 0.16]
 [0.07 0.07]]",[-1. -1.],[0.99 0.99],[-0.92 -0.85],[1. 1.],[-0.92  0.75],"[[-0.08  0.33]
 [-0.04  0.  ]]","[[-0.05 -0.07]
 [ 0.05  0.14]]","[[ 0.03  0.2 ]
 [-0.1   0.06]]","[[-0.05  0.05]
 [ 0.09  0.19]]","[[ 0.02 -0.06]
 [ 0.03  0.05]]",,
,,[-0.18  0.19],"[[0.08 0.04]
 [0.09 0.01]]",[0.96 0.92],"[[0.09 0.11]
 [0.05 0.07]]",[-1. -1.],[0.99 0.99],[-0.94 -0.86],[1. 1.],[-0.95  0.81],"[[0.2  0.02]
 [0.03 0.02]]","[[ 0.03 -0.01]
 [ 0.1  -0.04]]","[[ 0.05  0.26]
 [ 0.16 -0.09]]","[[-0.06 -0.09]
 [ 0.05  0.01]]","[[0.17 0.02]
 [0.1  0.13]]",,
,,[-0.19  0.2 ],"[[0.01 0.01]
 [0.03 0.02]]",[0.96 0.93],"[[0.1  0.09]
 [0.06 0.08]]",[-1. -1.],[0.98 0.99],[-0.94 -0.86],[1. 1.],[-0.98  0.89],"[[0.01 0.14]
 [0.01 0.04]]","[[-0.01  0.04]
 [ 0.13 -0.07]]","[[-0.07 -0.12]
 [ 0.05 -0.03]]","[[ 0.19  0.04]
 [-0.07  0.01]]","[[-0.08 -0.04]
 [ 0.04  0.17]]",,
,,[-0.18  0.19],"[[-0.    0.09]
 [-0.01 -0.06]]",[0.95 0.91],"[[0.1  0.09]
 [0.06 0.06]]",[-1. -1.],[0.98 0.98],[-0.91 -0.83],[1. 1.],[-0.95  0.81],"[[ 0.08  0.11]
 [-0.05 -0.07]]","[[-0.1   0.08]
 [ 0.04 -0.15]]","[[-0.01 -0.03]
 [-0.1  -0.1 ]]","[[-0.13  0.24]
 [ 0.   -0.04]]","[[0.15 0.03]
 [0.08 0.04]]",,
,,[-0.17  0.19],"[[ 0.05  0.02]
 [-0.06 -0.02]]",[0.95 0.91],"[[0.12 0.09]
 [0.06 0.11]]",[-1. -1.],[0.99 0.99],[-0.91 -0.83],[1. 1.],[-0.95  0.8 ],"[[ 0.07 -0.05]
 [-0.01  0.12]]","[[-0.07  0.08]
 [-0.04 -0.17]]","[[ 0.18  0.07]
 [-0.17 -0.1 ]]","[[ 0.19  0.1 ]
 [-0.03  0.1 ]]","[[-0.1  -0.12]
 [-0.05 -0.04]]",,
,,[-0.17  0.18],"[[ 0.01  0.01]
 [-0.07  0.01]]",[0.95 0.9 ],"[[0.08 0.09]
 [0.12 0.11]]",[-1. -1.],[0.99 0.99],[-0.92 -0.85],[1. 1.],[-0.91  0.74],"[[ 0.1  -0.05]
 [-0.25 -0.11]]","[[ 0.05  0.05]
 [-0.14 -0.07]]","[[-0.13 -0.08]
 [-0.02 -0.01]]","[[-0.02 -0.04]
 [-0.04  0.03]]","[[0.04 0.18]
 [0.11 0.21]]",,
