dataset,neuron,mean,cov,mean_std,cov_std,mean_0,mean_1,mean_2,mean_3,mean_4,cov_0,cov_1,cov_2,cov_3,cov_4,single_trial_correlation,cell_id
,,[-0.18  0.18],"[[ 0.01  0.01]
 [ 0.02 -0.  ]]",[0.96 0.91],"[[0.1  0.04]
 [0.11 0.07]]",[-1. -1.],[0.99 0.99],[-0.93 -0.86],[1. 1.],[-0.94  0.78],"[[ 0.2  -0.05]
 [-0.14  0.03]]","[[-0.09  0.05]
 [-0.01  0.07]]","[[-0.01  0.04]
 [ 0.2  -0.13]]","[[ 0.02 -0.02]
 [ 0.03  0.05]]","[[-0.05  0.  ]
 [ 0.03 -0.05]]",,
,,[-0.17  0.19],"[[ 0.02 -0.03]
 [ 0.    0.01]]",[0.95 0.9 ],"[[0.1  0.18]
 [0.08 0.14]]",[-1. -1.],[0.98 0.98],[-0.91 -0.83],[1. 1.],[-0.94  0.77],"[[-0.03 -0.06]
 [-0.    0.04]]","[[ 0.19  0.05]
 [-0.02  0.01]]","[[ 0.04 -0.36]
 [-0.04 -0.24]]","[[-0.02  0.17]
 [-0.07  0.02]]","[[-0.1   0.04]
 [ 0.15  0.2 ]]",,
,,[-0.17  0.19],"[[0.03 0.05]
 [0.07 0.01]]",[0.95 0.9 ],"[[0.06 0.11]
 [0.03 0.07]]",[-1. -1.],[0.98 0.98],[-0.91 -0.83],[1. 1.],[-0.94  0.78],"[[-0.06  0.21]
 [ 0.06 -0.05]]","[[-0.    0.04]
 [ 0.01 -0.09]]","[[ 0.04 -0.08]
 [ 0.08  0.05]]","[[0.12 0.14]
 [0.08 0.04]]","[[ 0.05 -0.05]
 [ 0.1   0.09]]",,
,,[-0.18  0.19],"[[ 0.04 -0.01]
 [-0.04 -0.01]]",[0.96 0.92],"[[0.09 0.09]
 [0.08 0.04]]",[-1. -1.],[0.98 0.98],[-0.93 -0.86],[1. 1.],[-0.96  0.84],"[[0.2  0.15]
 [0.06 0.03]]","[[-0.   -0.05]
 [-0.06 -0.09]]","[[-0.05  0.01]
 [-0.12  0.02]]","[[ 0.02 -0.12]
 [ 0.05  0.02]]","[[ 0.01 -0.06]
 [-0.11 -0.  ]]",,
,,[-0.18  0.19],"[[ 0.06 -0.01]
 [ 0.02  0.04]]",[0.95 0.91],"[[0.06 0.16]
 [0.1  0.08]]",[-1. -1.],[0.98 0.98],[-0.91 -0.83],[1. 1.],[-0.95  0.8 ],"[[-0.05 -0.27]
 [ 0.13 -0.01]]","[[0.09 0.01]
 [0.07 0.05]]","[[ 0.09  0.19]
 [-0.1   0.18]]","[[ 0.1  0.1]
 [-0.1  0. ]]","[[ 0.07 -0.08]
 [ 0.1  -0.04]]",,
,,[-0.17  0.18],"[[ 0.05  0.05]
 [ 0.   -0.01]]",[0.95 0.91],"[[0.12 0.09]
 [0.07 0.04]]",[-1. -1.],[0.99 0.99],[-0.93 -0.85],[1. 1.],[-0.93  0.76],"[[ 0.16  0.16]
 [-0.04 -0.02]]","[[-0.07 -0.04]
 [-0.01 -0.  ]]","[[ 0.02  0.09]
 [-0.07 -0.08]]","[[ 0.2   0.1 ]
 [ 0.13 -0.01]]","[[-0.08 -0.08]
 [ 0.01  0.04]]",,
,,[-0.18  0.19],"[[-0.02 -0.09]
 [-0.03 -0.02]]",[0.95 0.91],"[[0.12 0.1 ]
 [0.07 0.13]]",[-1. -1.],[0.98 0.98],[-0.91 -0.83],[1. 1.],[-0.95  0.8 ],"[[ 0.   -0.05]
 [-0.01 -0.03]]","[[-0.03 -0.03]
 [ 0.01 -0.1 ]]","[[-0.16 -0.22]
 [-0.02  0.19]]","[[-0.08  0.05]
 [ 0.01  0.01]]","[[ 0.19 -0.19]
 [-0.16 -0.18]]",,
,,[-0.18  0.19],"[[ 0.    0.02]
 [ 0.01 -0.01]]",[0.95 0.91],"[[0.05 0.1 ]
 [0.1  0.06]]",[-1. -1.],[0.98 0.99],[-0.91 -0.83],[1. 1.],[-0.95  0.81],"[[ 0.    0.12]
 [-0.01  0.07]]","[[-0.02 -0.01]
 [ 0.01  0.03]]","[[-0.04 -0.13]
 [ 0.   -0.05]]","[[ 0.1   0.16]
 [ 0.18 -0.  ]]","[[-0.02 -0.03]
 [-0.13 -0.09]]",,
,,[-0.17  0.18],"[[-0.05 -0.01]
 [ 0.01  0.01]]",[0.95 0.9 ],"[[0.09 0.07]
 [0.06 0.04]]",[-1. -1.],[0.99 0.99],[-0.92 -0.85],[1. 1.],[-0.91  0.74],"[[ 0.02 -0.02]
 [ 0.01  0.04]]","[[-0.12 -0.05]
 [-0.02  0.03]]","[[-0.19  0.07]
 [-0.02 -0.05]]","[[ 0.03 -0.13]
 [-0.03  0.04]]","[[-0.    0.05]
 [ 0.13 -0.  ]]",,
,,[-0.17  0.18],"[[-0.02  0.02]
 [-0.05 -0.06]]",[0.95 0.9 ],"[[0.08 0.08]
 [0.1  0.08]]",[-1. -1.],[0.98 0.99],[-0.91 -0.84],[1. 1.],[-0.91  0.73],"[[ 0.03  0.03]
 [ 0.03 -0.12]]","[[-0.16 -0.01]
 [-0.02  0.06]]","[[-0.    0.15]
 [-0.21 -0.03]]","[[ 0.06  0.01]
 [ 0.07 -0.15]]","[[-0.05 -0.1 ]
 [-0.1  -0.03]]",,
